City,State,Age Group,Gender,Coffee Type,Daily Cups Consumed,Preferred Coffee Brand,Consumption Setting,Monthly Coffee Expense (INR),Reason for Consumption,Milk Preference,Sugar Preference,Awareness of Specialty Coffee,Frequency of Café Visits (Per Week),Preferred Time of Consumption,Influence of Social Media on Choice
Delhi,Delhi,18-25,Other,Espresso,4,Bru,Home,1060,Taste,Yes,No Sugar,No,6,Morning,Yes
Delhi,Delhi,26-35,Male,Cold Coffee,3,Others,Home,3972,Taste,No,Less Sugar,No,4,Evening,Yes
Bangalore,Karnataka,50+,Female,Espresso,2,Bru,Home,666,Habit,Yes,No Sugar,No,6,Morning,No
Kolkata,West Bengal,36-50,Male,Filter Coffee,3,Others,Home,3644,Socializing,Yes,Medium Sugar,No,3,Afternoon,Yes
Mumbai,Maharashtra,26-35,Female,Instant,3,Bru,Home,1885,Socializing,No,High Sugar,No,4,Afternoon,No
Kolkata,West Bengal,26-35,Other,Espresso,2,Nestlé,Office,2591,Taste,Yes,Less Sugar,No,3,Night,No
Jaipur,Rajasthan,26-35,Other,Espresso,2,Nestlé,Home,1384,Energy,No,High Sugar,No,3,Morning,Yes
Lucknow,Uttar Pradesh,36-50,Male,Filter Coffee,2,Local Brand,Office,4317,Socializing,Yes,Medium Sugar,Yes,4,Afternoon,No
Lucknow,Uttar Pradesh,50+,Other,Filter Coffee,4,Starbucks,Home,3104,Taste,No,No Sugar,Yes,0,Morning,Yes
Bangalore,Karnataka,50+,Other,Instant,3,Local Brand,Café,1282,Socializing,No,No Sugar,Yes,6,Evening,No
Delhi,Delhi,36-50,Female,Brewed,2,Local Brand,Home,2247,Habit,Yes,No Sugar,No,3,Afternoon,Yes
Kolkata,West Bengal,26-35,Other,Cold Coffee,4,Nestlé,Office,1175,Habit,No,No Sugar,Yes,6,Evening,No
Chennai,Tamil Nadu,18-25,Male,Cold Coffee,3,Nestlé,Home,2099,Socializing,Yes,Less Sugar,Yes,6,Night,Yes
Hyderabad,Telangana,50+,Male,Cold Coffee,4,Bru,Office,1728,Habit,No,Medium Sugar,No,2,Night,Yes
Chennai,Tamil Nadu,26-35,Male,Espresso,5,Nestlé,Office,4090,Taste,Yes,No Sugar,Yes,6,Morning,Yes
