order,fig_id,expected_title,html_title,trace_count,estimated_points,status,issues
1,fontes_volume,Volume por tabela fonte,Volume por tabela fonte,5,5,pass,
2,serie_aula_prova,Série mensal aula vs prova,Série mensal aula vs prova,2,106,pass,
3,usuarios_ativos_mensal,Atividade mensal de usuários (MAU),Atividade mensal de usuários (MAU),2,103,pass,
4,usuarios_novos_mensal,Aquisição de novos usuários por mês,Aquisição de novos usuários por mês,1,46,pass,
5,retencao_mensal,Retenção e perda mês a mês,Retenção e perda mês a mês,2,98,pass,
6,retorno_gap_bins,Distribuição do tempo de retorno,Distribuição do tempo de retorno,8,8,pass,
7,path_adocao,Ordem de adoção,Ordem de adoção,2,2,pass,
8,hyp_status,Status das hipóteses,Status das hipóteses,4,4,pass,
9,hyp_effect,Tamanho de efeito por hipótese,Tamanho de efeito por hipótese,3,11,pass,
10,identity_coverage_users,Cobertura de usuários por chave de identidade,Cobertura de usuários por chave de identidade,2,4,pass,
11,identity_coverage_rows,Linhas fora da base integrada,Linhas fora da base integrada,2,2,pass,
12,sessao_thresholds,Sessões curtas por duração,Sessões curtas por duração,1,4,pass,
13,sessao_por_tipo,Sessões curtas por tipo,Sessões curtas por tipo,3,3,pass,
14,sessao_tempo_por_tipo,Tempo em sessão limpa por tipo de usuário,Tempo em sessão limpa por tipo de usuário,3,3,pass,
15,sessao_tempo_device,Tempo em sessão limpa por device,Tempo em sessão limpa por device,4,4,pass,
16,estado_cobertura,Cobertura geográfica por volume,Cobertura geográfica por volume,12,12,pass,
17,estado_ativacao_extremos,Ativação por UF: ranking e extremos,Ativação por UF: ranking e extremos,2,10,pass,
18,estado_faixa_normal,Faixa normal de ativação por UF,Faixa normal de ativação por UF,1,25,pass,
19,estado_associacoes,Estado: intensidade de associação por métrica,Estado: intensidade de associação por métrica,3,6,pass,
20,dq_missing_cols,Missing por campo-chave,Missing por campo-chave,1,7,pass,
21,dq_missing_trend,Missing ao longo do tempo,Missing ao longo do tempo,2,92,pass,
22,eda_numeric_box,Distribuição numérica básica,Distribuição numérica básica,5,790000,pass,
23,eda_categorical_top,Distribuição categórica básica,Distribuição categórica básica,3,20,pass,
24,cluster_profiles,Contraste de métricas entre clusters,Contraste de métricas entre clusters,2,10,pass,
25,cluster_scatter,Clusters: heavy users vs usuário normal,Clusters: heavy users vs usuário normal,2,2,pass,
26,utm_volume_share,Participação por canal,Participação por canal,1,8,pass,
27,utm_quadrante,UTM: uso x ativação,UTM: uso x ativação,8,8,pass,
28,heavy_share,Participação heavy vs base regular,Participação heavy vs base regular,1,2,pass,
29,heavy_metricas,Comparativo de métricas heavy vs base,Comparativo de métricas heavy vs base,2,10,pass,
30,heavy_mix_utm,Mix de canal por perfil de uso,Mix de canal por perfil de uso,2,12,pass,
31,heavy_device_conditional,Taxa condicional de heavy por device,Taxa condicional de heavy por device,4,4,pass,
32,heavy_device_composition,Composição (normalizada) dos heavy por device,Composição (normalizada) dos heavy por device,4,4,pass,
33,heavy_lift_device,Heavy users: lift por device,Heavy users: lift por device,1,4,pass,
34,heavy_lift_utm,Heavy users: lift por canal (utm),Heavy users: lift por canal (utm),1,7,pass,
35,heavy_lift_state,Heavy users: lift por estado,Heavy users: lift por estado,1,10,pass,
36,heavy_lift_stage,Heavy users: lift por etapa,Heavy users: lift por etapa,1,5,pass,
37,heavy_lift_user_type,Heavy users: lift por tipo de usuário,Heavy users: lift por tipo de usuário,1,3,pass,
38,heavy_prova_overlap,Sobreposição entre heavy de interação e heavy de prova,Sobreposição entre heavy de interação e heavy de prova,5,5,pass,
39,heavy_prova_metricas,Comparativo de métricas por intensidade de prova,Comparativo de métricas por intensidade de prova,3,12,pass,
40,heavy_prova_mix_utm,Origem dos heavy de prova,Origem dos heavy de prova,8,8,pass,
41,heavy_prova_mix_device,Device dos heavy de prova,Device dos heavy de prova,4,4,pass,
42,corr_numeric_top,Top correlações numéricas,Top correlações numéricas,1,12,pass,
43,corr_categorical_top,Top associações categóricas,Top associações categóricas,1,6,pass,
44,maiores_problemas,Maiores problemas com evidência numérica,Maiores problemas com evidência numérica,1,5,pass,
45,alerta_base_pequena,Bases pequenas para ressalva,Bases pequenas para ressalva,2,6,pass,
46,serie_share_prova,Share mensal de prova,Share mensal de prova,1,53,pass,
47,heavy_prova_particao,Distribuição por intensidade de prova,Distribuição por intensidade de prova,3,3,pass,
